epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,250.834,0.52054,0.90009,0.62265,0.931,0,0.87486,0.84864,0.90014,0.76152,0.89144,0.84817,0.90505,0.72509,0.50212,1.03854,0.47525,0.89614,0,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,373.394,0.5338,0.76445,0.43898,0.9238,0,0.90317,0.84586,0.89609,0.76086,0.92106,0.86119,0.91553,0.73775,0.55681,1.03924,0.4662,0.91445,0,0.0197756,0.00659187,0.0197756,0.00659187,0.0197756,0.00659187,0.0197756,0.00659187
3,478.241,0.60157,0.85284,0.49015,0.95013,0,0.79704,0.71732,0.80892,0.63556,0.80545,0.72969,0.82859,0.6245,0.73041,1.53942,1.37716,1.05297,0,0.0293799,0.00979329,0.0293799,0.00979329,0.0293799,0.00979329,0.0293799,0.00979329
4,583.533,0.63783,0.92496,0.51036,0.96856,0,0.88743,0.70381,0.80338,0.6275,0.8974,0.7149,0.81209,0.60961,0.75715,1.43677,0.99675,1.06664,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,687.283,0.58469,0.82596,0.45825,0.94405,0,0.8089,0.7902,0.8343,0.68798,0.82594,0.80135,0.8459,0.65354,0.61594,1.12772,0.65826,0.9658,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,790.234,0.54845,0.77145,0.42572,0.9322,0,0.88864,0.8355,0.86756,0.7168,0.91079,0.83485,0.87843,0.69646,0.62154,1.16318,0.49231,1.00161,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,894.705,0.51769,0.72681,0.39548,0.91909,0,0.88882,0.84339,0.89014,0.74335,0.93241,0.84343,0.90789,0.7145,0.56215,1.01146,0.43868,0.97402,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,999.361,0.49962,0.70498,0.37612,0.90976,0,0.90088,0.7777,0.83216,0.68718,0.91816,0.79115,0.84916,0.66472,0.64735,1.18479,0.56266,1.04239,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1103.08,0.48086,0.67512,0.36084,0.90201,0,0.86863,0.79607,0.83769,0.71156,0.88498,0.80853,0.85488,0.69349,0.57027,1.09759,0.54669,0.96764,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1206.16,0.47193,0.67506,0.35351,0.90156,0,0.94346,0.84027,0.89948,0.76006,0.93931,0.85377,0.91042,0.73656,0.54555,1.00581,0.3971,0.96666,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
